P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
L,O,LOY_ACRL_ITM_VOLUME_INT,ITEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,ACCRUALED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,EXPIRED_VALUE,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,ATTRIB_DEFN_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,PROGRAM_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_VOLUME_INT,INTERNAL_NAME,VIEW,VARCHAR2,300,75
L,O,LOY_ACRL_ITM_VOLUME_INT,PROMO_NAME,VIEW,VARCHAR2,200,50
L,O,LOY_ACRL_ITM_VOLUME_INT,COMMENTS,VIEW,VARCHAR2,1000,250
L,O,LOY_ACRL_ITM_VOLUME_INT,EXPIRATION_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_VOLUME_INT,MEMBER_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,MEM_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,ORDER_NUM,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,POINT_BLK_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,POINT_BLOCK_NUMBER,VIEW,VARCHAR2,120,30
L,O,LOY_ACRL_ITM_VOLUME_INT,PT_BLK_DEBIT_FLAG,VIEW,VARCHAR2,4,1
L,O,LOY_ACRL_ITM_VOLUME_INT,PROCESS_DT,VIEW,TIMESTAMP(6),11,0
L,O,LOY_ACRL_ITM_VOLUME_INT,PROMO_BUCKET_ID,VIEW,NUMBER,22,0
L,O,LOY_ACRL_ITM_VOLUME_INT,BUCKET_UID,VIEW,VARCHAR2,120,30
