P_START_LETTER,P_END_LETTER,TABLE_NAME,COLUMN_NAME,OBJECT_TYPE,DATA_TYPE,DATA_LENGTH,CHAR_LENGTH
P,P,PAY_ACTION_INFORMATION,ACTION_CONTEXT_TYPE,VIEW,VARCHAR2,60,15
P,P,PAY_ACTION_INFORMATION,ACTION_CONTEXT_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,PAYROLL_ACTION_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,PERSON_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,EFFECTIVE_DATE,VIEW,DATE,7,0
P,P,PAY_ACTION_INFORMATION,ASSIGNMENT_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,JURISDICTION_CODE,VIEW,VARCHAR2,60,15
P,P,PAY_ACTION_INFORMATION,GROUP_LABEL_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,REPORT_RECORD_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,PARENT_ACT_INFO_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,EXPIRE_ID,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,CREATED_BY,VIEW,VARCHAR2,256,64
P,P,PAY_ACTION_INFORMATION,CREATION_DATE,VIEW,TIMESTAMP(6),11,0
P,P,PAY_ACTION_INFORMATION,LAST_UPDATED_BY,VIEW,VARCHAR2,256,64
P,P,PAY_ACTION_INFORMATION,LAST_UPDATE_LOGIN,VIEW,VARCHAR2,128,32
P,P,PAY_ACTION_INFORMATION,LAST_UPDATE_DATE,VIEW,TIMESTAMP(6),11,0
P,P,PAY_ACTION_INFORMATION,OBJECT_VERSION_NUMBER,VIEW,NUMBER,22,0
P,P,PAY_ACTION_INFORMATION,ACTION_INFORMATION1,VIEW,VARCHAR2,960,240
P,P,PAY_ACTION_INFORMATION,ACTION_INFORMATION2,VIEW,VARCHAR2,960,240
